user_id,age,gender,height_cm,weight_kg,fitness_level,experience_months,consistency,previous_training,goals,preferred_duration,preferred_frequency,preferred_style,preferred_exercises,equipment,available_time,schedule_flexibility,limitations,recovery_capacity,energy_levels,stress_levels,sleep_quality,motivation_type,enjoyment_factors,preferred_intensity,bmi,exp_bin,primary_goal
U000001,56,Female,164,87,Intermediate,32,2,Full Body,General Fitness,60-75 min,4,Full Body,"Free weights,Olympic lifts,Compound movements",At Home,60-90 min,4,None,1,1,5,1,Competition,Structure,2,32.3,25-60,General Fitness
U000002,56,Male,189,73,Intermediate,20,1,Upper/Lower,Weight Loss,60-75 min,5,Upper/Lower,"Compound movements,Olympic lifts",Dumbbell Only,45-60 min,2,Knee issues,5,5,1,4,Competition,"Challenge,Variety",3,20.4,7-24,Weight Loss
U000003,62,Male,179,104,Beginner,6,2,None/Minimal,Strength,30-45 min,3,Push/Pull/Legs,"Bodyweight exercises,Free weights",Garage Gym,30-45 min,5,Back issues,4,3,2,5,Process-driven,Structure,1,32.5,0-6,Strength
U000004,30,Male,196,98,Novice,6,4,Full Body,Athletic Performance,30-45 min,2,Full Body,Machine-based exercises,Full Gym,45-60 min,4,None,4,4,2,3,Process-driven,Social,4,25.5,0-6,Athletic Performance
U000005,58,Male,170,67,Novice,7,3,Full Body,Strength,30-45 min,3,Upper/Lower,Compound movements,Garage Gym,≤30 min,1,None,3,3,3,4,Results-driven,Variety,2,23.2,7-24,Strength
U000006,55,Male,198,65,Beginner,6,1,Upper/Lower,Strength,30-45 min,3,Upper/Lower,Compound movements,Full Gym,30-45 min,2,Shoulder issues,5,5,2,3,Process-driven,Variety,2,16.6,0-6,Strength
U000007,19,Prefer not to say,161,81,Intermediate,20,3,Body Part Split,"General Fitness,Strength",60-75 min,3,Upper/Lower,"Free weights,Compound movements,Isolation exercises",Garage Gym,45-60 min,2,None,3,2,3,4,Social,"Structure,Achievement",4,31.2,7-24,General Fitness
U000008,39,Male,172,86,Novice,23,3,Upper/Lower,Strength,60-75 min,3,Full Body,"Olympic lifts,Free weights",Full Gym,45-60 min,1,Wrist/elbow issues,3,1,4,2,Competition,Structure,2,29.1,7-24,Strength
U000009,35,Female,180,47,Novice,20,3,Other,Weight Loss,60-75 min,4,Push/Pull/Legs,"Machine-based exercises,Compound movements,Bodyweight exercises",At Home,60-90 min,4,None,4,5,2,5,Social,Social,1,14.5,7-24,Weight Loss
U000010,42,Male,186,81,Beginner,1,3,None/Minimal,Weight Loss,45-60 min,2,Upper/Lower,Bodyweight exercises,Dumbbell Only,45-60 min,1,None,4,3,2,3,Process-driven,"Structure,Challenge",1,23.4,0-6,Weight Loss
U000011,18,Male,196,107,Beginner,4,1,Cardio-focused,"Weight Loss,Endurance",30-45 min,2,Full Body,"Isolation exercises,Bodyweight exercises,Olympic lifts",At Home,45-60 min,5,None,2,2,3,2,Process-driven,"Variety,Achievement",2,27.9,0-6,Weight Loss
U000012,49,Female,154,89,Beginner,6,4,Push/Pull/Legs,General Fitness,45-60 min,3,Full Body,"Isolation exercises,Bodyweight exercises,Compound movements",Garage Gym,45-60 min,5,None,2,1,4,1,Process-driven,"Achievement,Social",1,37.5,0-6,General Fitness
U000013,62,Female,185,69,Intermediate,47,2,Body Part Split,"Endurance,Athletic Performance",45-60 min,5,Upper/Lower,"Isolation exercises,Bodyweight exercises,Cardio",Full Gym,30-45 min,1,None,1,1,5,1,Competition,"Achievement,Variety",2,20.2,25-60,Endurance
U000014,22,Male,189,80,Intermediate,34,4,Full Body,"Endurance,Hypertrophy",45-60 min,5,Upper/Lower,Cardio,Full Gym,45-60 min,2,None,3,4,3,4,Process-driven,"Social,Challenge",2,22.4,25-60,Endurance
U000015,61,Female,176,54,Advanced,74,4,Upper/Lower,Weight Loss,75-90 min,5,Body Part Split,"Bodyweight exercises,Cardio,Compound movements",Dumbbell Only,60-90 min,1,None,4,3,3,5,Process-driven,Social,4,17.4,61-120,Weight Loss
U000016,40,Male,176,69,Advanced,107,4,Upper/Lower,Strength,75-90 min,4,Upper/Lower,"Bodyweight exercises,Isolation exercises",At Home,60-90 min,5,Shoulder issues,3,4,2,5,Competition,"Structure,Achievement",4,22.3,61-120,Strength
U000017,18,Female,160,65,Intermediate,36,5,CrossFit/Functional Fitness,"Weight Loss,Athletic Performance",30-45 min,2,Full Body,"Isolation exercises,Machine-based exercises",Garage Gym,45-60 min,3,None,2,2,4,2,Competition,Variety,4,25.4,25-60,Weight Loss
U000018,29,Female,154,74,Intermediate,28,2,Full Body,"Weight Loss,Hypertrophy",75-90 min,5,Push/Pull/Legs,"Machine-based exercises,Compound movements,Olympic lifts",At Home,90+ min,1,None,2,3,5,2,Results-driven,"Challenge,Achievement",4,31.2,25-60,Weight Loss
U000019,37,Male,198,65,Novice,15,2,Upper/Lower,Hypertrophy,45-60 min,3,Upper/Lower,"Isolation exercises,Free weights",Garage Gym,30-45 min,2,None,3,2,3,4,Competition,Social,3,16.6,7-24,Hypertrophy
U000020,26,Male,186,106,Novice,13,4,None/Minimal,General Fitness,60-75 min,2,Full Body,"Compound movements,Free weights",Dumbbell Only,60-90 min,3,None,5,5,3,5,Results-driven,"Variety,Structure",2,30.6,7-24,General Fitness
U000021,54,Male,181,98,Beginner,5,1,Push/Pull/Legs,Athletic Performance,45-60 min,2,Full Body,"Free weights,Bodyweight exercises",At Home,60-90 min,2,None,1,1,4,2,Process-driven,Structure,1,29.9,0-6,Athletic Performance
U000022,54,Non-binary,185,55,Beginner,3,4,None/Minimal,"Weight Loss,Athletic Performance",60-75 min,3,Upper/Lower,"Compound movements,Olympic lifts",Garage Gym,45-60 min,4,None,3,2,3,2,Social,"Structure,Variety",2,16.1,0-6,Weight Loss
U000023,27,Female,159,88,Beginner,1,1,None/Minimal,Hypertrophy,30-45 min,3,Push/Pull/Legs,Compound movements,Full Gym,45-60 min,2,None,3,4,3,3,Process-driven,"Structure,Achievement",1,34.8,0-6,Hypertrophy
U000024,31,Female,153,69,Intermediate,36,4,Push/Pull/Legs,"General Fitness,Endurance",45-60 min,4,Push/Pull/Legs,"Bodyweight exercises,Cardio",At Home,60-90 min,3,None,3,2,4,4,Social,Social,4,29.5,25-60,General Fitness
U000025,44,Female,153,66,Intermediate,16,5,Upper/Lower,"Strength,General Fitness",60-75 min,4,Push/Pull/Legs,"Olympic lifts,Cardio",Garage Gym,60-90 min,4,Back issues,4,4,2,4,Process-driven,"Challenge,Achievement",4,28.2,7-24,Strength
U000026,42,Male,176,103,Novice,6,3,None/Minimal,Athletic Performance,45-60 min,2,Full Body,Machine-based exercises,At Home,30-45 min,4,None,3,2,4,1,Results-driven,Challenge,2,33.3,0-6,Athletic Performance
U000027,42,Female,151,51,Beginner,1,4,Full Body,General Fitness,30-45 min,3,Full Body,Bodyweight exercises,At Home,30-45 min,1,None,2,2,4,2,Social,Achievement,2,22.4,0-6,General Fitness
U000028,46,Male,183,77,Beginner,2,2,Full Body,Hypertrophy,45-60 min,2,Full Body,"Compound movements,Machine-based exercises,Bodyweight exercises",Dumbbell Only,60-90 min,4,Shoulder issues,3,4,2,3,Social,"Challenge,Variety",3,23.0,0-6,Hypertrophy
U000029,20,Female,177,52,Beginner,5,2,Upper/Lower,"General Fitness,Endurance",30-45 min,2,Full Body,"Isolation exercises,Bodyweight exercises",Dumbbell Only,30-45 min,2,Ankle issues,2,1,5,2,Results-driven,Variety,3,16.6,0-6,General Fitness
U000030,34,Female,172,76,Novice,21,3,Push/Pull/Legs,Weight Loss,30-45 min,3,Upper/Lower,Bodyweight exercises,Full Gym,30-45 min,2,None,3,1,4,3,Social,Structure,4,25.7,7-24,Weight Loss
U000031,57,Male,171,69,Advanced,61,4,CrossFit/Functional Fitness,Hypertrophy,90+ min,4,Upper/Lower,"Compound movements,Isolation exercises,Bodyweight exercises",Full Gym,90+ min,3,Ankle issues,3,3,2,4,Social,Achievement,4,23.6,61-120,Hypertrophy
U000032,51,Female,151,53,Beginner,0,2,Full Body,Weight Loss,30-45 min,2,Full Body,"Free weights,Cardio,Compound movements",Full Gym,45-60 min,1,Wrist/elbow issues,1,1,5,1,Competition,"Social,Structure",2,23.2,,Weight Loss
U000033,25,Male,189,71,Beginner,1,1,Full Body,Weight Loss,90+ min,3,Full Body,"Machine-based exercises,Bodyweight exercises",Full Gym,90+ min,4,Shoulder issues,4,4,2,4,Process-driven,"Achievement,Variety",2,19.9,0-6,Weight Loss
U000034,56,Male,168,88,Novice,15,3,CrossFit/Functional Fitness,Strength,30-45 min,4,Full Body,"Compound movements,Bodyweight exercises,Machine-based exercises",Dumbbell Only,45-60 min,5,None,5,2,3,2,Process-driven,Challenge,1,31.2,7-24,Strength
U000035,62,Male,194,109,Beginner,5,2,None/Minimal,"Strength,Hypertrophy",30-45 min,2,No preference,"Compound movements,Cardio,Bodyweight exercises",Full Gym,30-45 min,5,Wrist/elbow issues,3,4,3,3,Process-driven,Challenge,1,29.0,0-6,Strength
U000036,20,Female,154,49,Novice,19,3,Upper/Lower,Hypertrophy,45-60 min,3,No preference,"Isolation exercises,Cardio,Compound movements",At Home,60-90 min,5,None,2,3,4,3,Results-driven,"Variety,Achievement",2,20.7,7-24,Hypertrophy
U000037,22,Male,182,65,Advanced,83,4,Upper/Lower,"Hypertrophy,Endurance",90+ min,5,Body Part Split,"Bodyweight exercises,Machine-based exercises",Garage Gym,90+ min,3,None,1,1,5,3,Process-driven,Achievement,3,19.6,61-120,Hypertrophy
U000038,53,Female,162,73,Beginner,1,1,Full Body,"Athletic Performance,Hypertrophy",45-60 min,3,Push/Pull/Legs,Olympic lifts,Dumbbell Only,30-45 min,5,None,3,3,3,3,Results-driven,"Challenge,Achievement",1,27.8,0-6,Athletic Performance
U000039,35,Female,178,56,Intermediate,46,4,Upper/Lower,General Fitness,45-60 min,5,Upper/Lower,Free weights,Dumbbell Only,30-45 min,5,None,5,4,1,4,Social,"Structure,Achievement",3,17.7,25-60,General Fitness
U000040,55,Male,199,108,Novice,14,3,Upper/Lower,Strength,30-45 min,2,Full Body,"Free weights,Cardio",Full Gym,30-45 min,1,None,5,5,3,3,Competition,Social,3,27.3,7-24,Strength
U000041,30,Male,185,77,Novice,20,3,Push/Pull/Legs,Weight Loss,60-75 min,4,Full Body,"Free weights,Olympic lifts",At Home,60-90 min,4,Back issues,3,3,2,3,Results-driven,"Variety,Social",5,22.5,7-24,Weight Loss
U000042,43,Female,164,78,Beginner,3,1,Full Body,"Strength,Hypertrophy",30-45 min,3,Push/Pull/Legs,"Free weights,Compound movements,Olympic lifts",Dumbbell Only,30-45 min,4,None,2,3,5,2,Competition,Structure,1,29.0,0-6,Strength
U000043,63,Male,172,88,Intermediate,43,3,Push/Pull/Legs,"Strength,Hypertrophy",60-75 min,3,Push/Pull/Legs,"Olympic lifts,Free weights",Garage Gym,60-90 min,4,None,4,5,2,5,Process-driven,"Variety,Achievement",4,29.7,25-60,Strength
U000044,56,Male,176,62,Novice,10,4,Full Body,"Hypertrophy,Weight Loss",30-45 min,6,Full Body,"Cardio,Isolation exercises,Olympic lifts",Dumbbell Only,30-45 min,2,None,2,4,3,3,Results-driven,Structure,3,20.0,7-24,Hypertrophy
U000045,28,Female,163,60,Novice,12,3,Full Body,Weight Loss,75-90 min,3,Upper/Lower,"Isolation exercises,Cardio",Full Gym,90+ min,4,Hip issues,5,4,1,5,Social,Structure,3,22.6,7-24,Weight Loss
U000046,31,Female,169,68,Novice,4,2,Sports-specific,Hypertrophy,45-60 min,3,Upper/Lower,Compound movements,Garage Gym,30-45 min,5,None,2,4,3,3,Process-driven,"Variety,Social",3,23.8,0-6,Hypertrophy
U000047,34,Female,161,71,Advanced,81,5,Body Part Split,"Athletic Performance,Endurance",60-75 min,4,Upper/Lower,"Olympic lifts,Isolation exercises",Full Gym,45-60 min,1,None,5,4,2,5,Results-driven,Structure,4,27.4,61-120,Athletic Performance
U000048,24,Female,168,73,Novice,19,3,Upper/Lower,Weight Loss,30-45 min,3,Push/Pull/Legs,"Machine-based exercises,Olympic lifts",At Home,30-45 min,2,None,3,1,4,1,Process-driven,"Structure,Social",2,25.9,7-24,Weight Loss
U000049,33,Female,164,69,Novice,21,1,Cardio-focused,Strength,45-60 min,3,Full Body,"Compound movements,Free weights",Garage Gym,45-60 min,5,None,3,2,4,4,Competition,"Challenge,Variety",4,25.7,7-24,Strength
U000050,61,Male,177,81,Intermediate,33,4,CrossFit/Functional Fitness,Strength,45-60 min,5,Body Part Split,"Compound movements,Bodyweight exercises",Dumbbell Only,45-60 min,2,Knee issues,3,2,2,3,Competition,"Social,Challenge",3,25.9,25-60,Strength
U000051,52,Female,181,55,Beginner,5,2,None/Minimal,Weight Loss,45-60 min,3,Full Body,"Machine-based exercises,Bodyweight exercises",Garage Gym,45-60 min,5,None,2,2,3,2,Process-driven,"Achievement,Structure",3,16.8,0-6,Weight Loss
U000052,20,Female,152,66,Novice,14,3,Upper/Lower,"Weight Loss,General Fitness",30-45 min,5,Upper/Lower,"Machine-based exercises,Bodyweight exercises,Free weights",Garage Gym,45-60 min,5,None,3,3,4,1,Competition,"Variety,Achievement",2,28.6,7-24,Weight Loss
U000053,33,Female,183,58,Beginner,6,1,None/Minimal,General Fitness,45-60 min,2,Full Body,"Cardio,Compound movements",Full Gym,60-90 min,2,None,2,5,3,5,Social,"Achievement,Challenge",2,17.3,0-6,General Fitness
U000054,19,Male,199,77,Advanced,117,4,CrossFit/Functional Fitness,Athletic Performance,90+ min,5,Body Part Split,"Bodyweight exercises,Isolation exercises,Compound movements",At Home,90+ min,5,None,4,3,1,3,Process-driven,"Variety,Structure",1,19.4,61-120,Athletic Performance
U000055,60,Female,172,63,Beginner,4,3,None/Minimal,Endurance,30-45 min,3,No preference,"Bodyweight exercises,Cardio",At Home,30-45 min,4,None,2,1,4,2,Process-driven,Variety,2,21.3,0-6,Endurance
U000056,52,Male,192,81,Intermediate,48,3,Sports-specific,Strength,45-60 min,5,Push/Pull/Legs,"Olympic lifts,Isolation exercises",At Home,60-90 min,2,None,2,2,5,1,Results-driven,"Variety,Challenge",5,22.0,25-60,Strength
U000057,65,Female,184,85,Novice,8,2,Sports-specific,Strength,45-60 min,5,Body Part Split,Olympic lifts,Garage Gym,45-60 min,3,None,3,4,3,3,Competition,Structure,1,25.1,7-24,Strength
U000058,41,Male,184,80,Beginner,6,1,None/Minimal,"Athletic Performance,General Fitness",30-45 min,2,Upper/Lower,"Free weights,Cardio,Olympic lifts",Full Gym,30-45 min,2,None,3,3,3,3,Social,"Variety,Structure",1,23.6,0-6,Athletic Performance
U000059,30,Female,180,60,Intermediate,45,2,Upper/Lower,"Hypertrophy,Strength",45-60 min,4,Upper/Lower,Free weights,At Home,60-90 min,2,Shoulder issues,3,3,4,3,Social,Variety,5,18.5,25-60,Hypertrophy
U000060,39,Female,162,62,Beginner,4,3,Upper/Lower,Weight Loss,60-75 min,3,Upper/Lower,"Machine-based exercises,Isolation exercises",Full Gym,60-90 min,5,None,4,4,3,3,Results-driven,Variety,1,23.6,0-6,Weight Loss
U000061,27,Female,176,71,Novice,18,3,Upper/Lower,General Fitness,30-45 min,4,Full Body,"Isolation exercises,Cardio,Free weights",At Home,45-60 min,5,None,4,4,2,5,Process-driven,"Variety,Challenge",2,22.9,7-24,General Fitness
U000062,62,Male,171,63,Novice,5,1,Upper/Lower,Weight Loss,45-60 min,4,Body Part Split,"Cardio,Free weights",At Home,45-60 min,2,Back issues,2,3,3,2,Social,"Achievement,Social",1,21.5,0-6,Weight Loss
U000063,45,Female,160,89,Beginner,5,2,Full Body,Weight Loss,60-75 min,2,Upper/Lower,"Olympic lifts,Cardio",At Home,45-60 min,5,None,2,1,2,3,Competition,Achievement,2,34.8,0-6,Weight Loss
U000064,18,Female,185,50,Beginner,5,2,None/Minimal,"General Fitness,Athletic Performance",30-45 min,2,Full Body,Compound movements,Dumbbell Only,30-45 min,1,Knee issues,3,2,1,4,Social,Variety,1,14.6,0-6,General Fitness
U000065,65,Female,175,88,Intermediate,25,4,Other,Weight Loss,45-60 min,4,Push/Pull/Legs,"Olympic lifts,Isolation exercises,Cardio",Garage Gym,45-60 min,1,Hip issues,5,4,2,4,Process-driven,Challenge,2,28.7,25-60,Weight Loss
U000066,39,Female,151,54,Novice,18,3,Push/Pull/Legs,General Fitness,30-45 min,3,No preference,"Cardio,Bodyweight exercises,Olympic lifts",Full Gym,30-45 min,5,None,4,4,1,5,Competition,"Challenge,Social",4,23.7,7-24,General Fitness
U000067,50,Male,199,65,Beginner,6,3,None/Minimal,"Endurance,Athletic Performance",45-60 min,2,Push/Pull/Legs,"Bodyweight exercises,Olympic lifts",At Home,45-60 min,5,Ankle issues,2,2,4,4,Process-driven,"Achievement,Structure",2,16.4,0-6,Endurance
U000068,18,Male,185,89,Novice,6,5,Sports-specific,Strength,45-60 min,2,Full Body,"Machine-based exercises,Cardio,Compound movements",Full Gym,60-90 min,2,None,2,2,3,1,Process-driven,"Variety,Challenge",3,26.0,0-6,Strength
U000069,43,Male,185,94,Beginner,0,3,None/Minimal,Hypertrophy,45-60 min,3,Body Part Split,"Bodyweight exercises,Isolation exercises,Free weights",At Home,45-60 min,4,None,3,3,2,3,Social,Structure,2,27.5,,Hypertrophy
U000070,31,Female,166,83,Intermediate,24,5,Push/Pull/Legs,"Strength,Athletic Performance",30-45 min,4,Push/Pull/Legs,"Compound movements,Machine-based exercises,Free weights",Dumbbell Only,≤30 min,2,Wrist/elbow issues,4,3,3,4,Results-driven,"Structure,Achievement",3,30.1,7-24,Strength
U000071,64,Male,200,99,Beginner,0,1,None/Minimal,Weight Loss,30-45 min,2,Push/Pull/Legs,Olympic lifts,At Home,45-60 min,5,Shoulder issues,1,3,3,4,Competition,"Structure,Achievement",1,24.8,,Weight Loss
U000072,26,Female,166,78,Intermediate,12,1,Body Part Split,General Fitness,60-75 min,3,Upper/Lower,Machine-based exercises,Garage Gym,60-90 min,4,None,4,2,2,4,Process-driven,Social,2,28.3,7-24,General Fitness
U000073,42,Male,176,65,Beginner,2,1,Cardio-focused,Weight Loss,30-45 min,3,Full Body,"Olympic lifts,Machine-based exercises",Full Gym,45-60 min,1,None,4,2,3,3,Results-driven,Structure,3,21.0,0-6,Weight Loss
U000074,58,Male,175,105,Advanced,112,5,Upper/Lower,Weight Loss,75-90 min,5,Push/Pull/Legs,"Machine-based exercises,Cardio",At Home,60-90 min,5,Shoulder issues,4,3,3,4,Results-driven,Structure,4,34.3,61-120,Weight Loss
U000075,32,Female,151,73,Novice,4,4,Upper/Lower,Strength,30-45 min,2,Full Body,"Compound movements,Machine-based exercises",Full Gym,45-60 min,1,None,2,2,3,3,Social,Challenge,4,32.0,0-6,Strength
U000076,53,Female,158,82,Intermediate,55,4,CrossFit/Functional Fitness,"General Fitness,Weight Loss",60-75 min,4,Push/Pull/Legs,"Free weights,Bodyweight exercises,Olympic lifts",At Home,60-90 min,4,None,1,2,4,3,Results-driven,"Variety,Challenge",3,32.8,25-60,General Fitness
U000077,29,Female,180,48,Beginner,1,2,None/Minimal,Endurance,30-45 min,2,Full Body,"Machine-based exercises,Compound movements",Dumbbell Only,30-45 min,5,Shoulder issues,1,1,4,2,Results-driven,Challenge,2,14.8,0-6,Endurance
U000078,21,Non-binary,195,98,Novice,15,3,CrossFit/Functional Fitness,Hypertrophy,30-45 min,2,Full Body,"Compound movements,Isolation exercises",At Home,30-45 min,5,None,3,5,3,4,Results-driven,"Structure,Social",2,25.8,7-24,Hypertrophy
